title,rating,author,date,body
"5.0 out of 5 stars
Great sound for a great price!!",,DJ Bacardee,"Reviewed in the United States on December 1, 2023",
"5.0 out of 5 stars
Must have",,Timothy,"Reviewed in the United States on November 18, 2023",
"4.0 out of 5 stars
Better than Sony MDR 7506",,Samuel McAuliff,"Reviewed in the United States on July 31, 2023",
"5.0 out of 5 stars
WOW!  WOW!  WOW!",,Patrick,"Reviewed in the United States on April 23, 2019",
"5.0 out of 5 stars
Excellent pair of headphones",,Vincent,"Reviewed in the United States on December 2, 2023",
"5.0 out of 5 stars
So far so good",,Cameron Wiltsey,"Reviewed in the United States on November 24, 2023",
,,Cliente Amazon,"Reviewed in Italy on November 30, 2023",
,,ST.Lycan,"Reviewed in Japan on November 23, 2023",
,,🉐️,"Reviewed in Japan on November 22, 2023",
,,4883,"Reviewed in Japan on December 9, 2023",
,,stefano bacci,"Reviewed in Italy on November 30, 2023",
